fromFIPS; toFIPS; flow; weightedflow; distance; popdiff; fromname; toname;
01003; 01001; 9; 0.705605644845; 2.17647121966; -3.96496637483; BaldwinCounty, Alabama; AutaugaCounty, Alabama; 
01051; 01001; 17; 3.04332259219; 0.505382726258; -3.31302311032; ElmoreCounty, Alabama; AutaugaCounty, Alabama; 
01101; 01001; 9; 0.633579725449; 0.552102934243; -4.0283678837; MontgomeryCounty, Alabama; AutaugaCounty, Alabama; 
01039; 01003; 13; 5.03680743898; 1.42297624014; 4.01961471569; CovingtonCounty, Alabama; BaldwinCounty, Alabama; 
01051; 01003; 3; 0.537056928034; 2.51523654752; 3.87256414309; ElmoreCounty, Alabama; BaldwinCounty, Alabama; 
01073; 01003; 24; 0.515873868839; 3.0162963863; -4.52478544932; JeffersonCounty, Alabama; BaldwinCounty, Alabama; 
01097; 01003; 13; 0.47453914948; 0.451209862481; -4.1569124257; MobileCounty, Alabama; BaldwinCounty, Alabama; 
01099; 01003; 4; 2.32964472918; 0.989974267342; 4.05407655729; MonroeCounty, Alabama; BaldwinCounty, Alabama; 
01101; 01003; 1; 0.0703977472721; 2.18255634521; -3.06520612805; MontgomeryCounty, Alabama; BaldwinCounty, Alabama; 
01103; 01003; 46; 5.50700347181; 3.90036193192; 3.67117284272; MorganCounty, Alabama; BaldwinCounty, Alabama; 
01113; 01003; 51; 13.4671243729; 3.03444379912; 3.96642334594; RussellCounty, Alabama; BaldwinCounty, Alabama; 
01117; 01003; 2; 0.152079689757; 2.81418977683; -2.03342375549; ShelbyCounty, Alabama; BaldwinCounty, Alabama; 
SI; 01003; 55; .; 200; .; Asia; BaldwinCounty, Alabama; 
01011; 01005; 2; 3.4965034965; 0.388106235456; 3.10585067439; BullockCounty, Alabama; BarbourCounty, Alabama; 
01073; 01005; 5; 0.107473722675; 2.24837609176; -4.65006456118; JeffersonCounty, Alabama; BarbourCounty, Alabama; 
UR; 01005; 8; .; 200; .; Europe; BarbourCounty, Alabama; 
01005; 01007; 16; 8.26446280992; 2.06778478812; -2.76715586608; BarbourCounty, Alabama; BibbCounty, Alabama; 
01051; 01007; 7; 1.25313283208; 1.06970524912; -3.62685341467; ElmoreCounty, Alabama; BibbCounty, Alabama; 
01073; 01007; 8; 0.17195795628; 0.584970187275; -4.65486931947; JeffersonCounty, Alabama; BibbCounty, Alabama; 
01101; 01007; 8; 0.563181978177; 1.22969578758; -4.10903829557; MontgomeryCounty, Alabama; BibbCounty, Alabama; 
01051; 01009; 3; 0.537056928034; 1.44400564057; -3.26623169669; ElmoreCounty, Alabama; BlountCounty, Alabama; 
01073; 01009; 28; 0.601852846979; 0.536856116664; -4.6312712346; JeffersonCounty, Alabama; BlountCounty, Alabama; 
01095; 01009; 3; 0.511334583262; 0.413049355404; -3.3277674899; MarshallCounty, Alabama; BlountCounty, Alabama; 
01097; 01009; 23; 0.839569264464; 3.67393643113; -4.37392295238; MobileCounty, Alabama; BlountCounty, Alabama; 
01125; 01009; 9; 0.734394124847; 1.17703661795; -3.9301846523; TuscaloosaCounty, Alabama; BlountCounty, Alabama; 
26163; 01009; 5; 0.0394045189102; 8.94061406896; -5.09043088961; WayneCounty, Michigan; BlountCounty, Alabama; 
SI; 01009; 16; .; 200; .; Asia; BlountCounty, Alabama; 
01005; 01013; 4; 2.06611570248; 1.28203480842; -2.710963119; BarbourCounty, Alabama; ButlerCounty, Alabama; 
01019; 01015; 4; 2.00400801603; 0.342066850192; 3.78632543439; CherokeeCounty, Alabama; CalhounCounty, Alabama; 
01029; 01015; 11; 10.8161258604; 0.322243696602; 3.85082995985; CleburneCounty, Alabama; CalhounCounty, Alabama; 
